id,block,model,method,trial_id,task_trial_id,luminance,pupilDiameter,pupil_lum_base,adj_pupil,total_time,target_source,creation_method,IPA,discomfort,seq
118,2,A,6DoF,2.0,6.0,0.22464953362941742,4.238241672515869,4.101437568664551,0.13680444657802582,55.0296,1,bimanual,0.29087577241152374,0,0
118,2,B,4DoF,1.0,1.0,0.22235657274723053,4.625856399536133,4.125757217407227,0.5000987648963928,102.4959,2,unimanual,0.21468986097855638,1,0
118,2,B,6DoF,0.0,4.0,0.25687846541404724,4.311548233032227,4.016106128692627,0.2954421639442444,83.9813,1,bimanual,0.19056784453475245,0,0
118,2,C,4DoF,3.0,3.0,0.20367850363254547,4.867384433746338,4.165006637573242,0.7023778557777405,102.0285,2,unimanual,0.16665457604056175,0,0
118,2,C,6DoF,1.0,5.0,0.18962985277175903,4.38112735748291,4.222704887390137,0.15842179954051971,61.3146,1,bimanual,0.2120966899864258,0,0
118,2,D,4DoF,2.0,2.0,0.21849378943443298,4.33339786529541,4.1203227043151855,0.21307498216629028,82.3275,2,unimanual,0.1093495040999989,0,0
118,2,D,6DoF,3.0,7.0,0.20692628622055054,4.317895889282227,4.153027057647705,0.16486893594264984,67.8561,1,bimanual,0.14741978520937296,0,0
119,3,A,4DoF,3.0,7.0,0.24964268505573273,3.0336077213287354,3.024240732192993,0.009366840124130249,47.8431,2,bimanual,0.2927571871889455,0,0
119,3,A,6DoF,2.0,2.0,0.2232314944267273,3.2860405445098877,3.063786745071411,0.22225411236286163,56.0176,1,unimanual,0.16072863648540048,0,1
119,3,B,4DoF,2.0,6.0,0.24682529270648956,3.064823865890503,3.032139778137207,0.032684098929166794,59.6597,2,bimanual,0.3018179501195535,0,0
119,3,B,6DoF,0.0,0.0,0.2406584918498993,3.2476437091827393,3.037316083908081,0.21032777428627014,41.1802,1,unimanual,0.2684983133424134,0,0
119,3,C,4DoF,0.0,4.0,0.208867609500885,3.190434455871582,3.08593487739563,0.10449957102537155,30.6506,2,bimanual,0.29383245673317077,0,0
119,3,C,6DoF,1.0,1.0,0.2309556007385254,3.104635000228882,3.0520076751708984,0.05262761190533638,49.1316,1,unimanual,0.26566884174515815,0,0
119,3,D,4DoF,1.0,5.0,0.23113860189914703,3.1094613075256348,3.0522279739379883,0.0572332963347435,66.1794,2,bimanual,0.19650255680057563,0,0
119,3,D,6DoF,3.0,3.0,0.20720016956329346,3.288144588470459,3.0884063243865967,0.19973845779895782,37.9647,1,unimanual,0.21090539047814888,0,0
