,id,block,model,method,IPA,creation_method
236,143,3,C,4DoF,0.18977820104067464,bimanual
237,143,3,C,6DoF,0.26379771990837425,unimanual
238,143,3,D,4DoF,0.16939912590051034,bimanual
239,143,3,D,6DoF,0.22981584856054843,unimanual
240,145,1,A,4DoF,0.25881145154402596,bimanual
241,145,1,A,6DoF,0.2354024720202093,unimanual
242,145,1,B,4DoF,0.2561362085787002,bimanual
243,145,1,B,6DoF,0.27920259738187736,unimanual
244,145,1,C,4DoF,0.19695507454749572,bimanual
245,145,1,C,6DoF,0.23895900766841177,unimanual
246,145,1,D,4DoF,0.2023414957892735,bimanual
247,145,1,D,6DoF,0.23937673663219028,unimanual
248,146,2,A,4DoF,0.11332456012363709,unimanual
249,146,2,A,6DoF,0.16083455815035308,bimanual
250,146,2,B,4DoF,0.08144980655670941,unimanual
251,146,2,B,6DoF,0.14635543602420578,bimanual
252,146,2,C,4DoF,0.16394217277383405,unimanual
253,146,2,C,6DoF,0.12138643755721933,bimanual
254,146,2,D,4DoF,0.1368961936697831,unimanual
255,146,2,D,6DoF,0.15092054457792003,bimanual
256,147,3,A,4DoF,0.21555573347457363,bimanual
257,147,3,A,6DoF,0.2592302158739623,unimanual
258,147,3,B,4DoF,0.2716243133940967,bimanual
259,147,3,B,6DoF,0.26705570324159844,unimanual
260,147,3,C,4DoF,0.28656872839220615,bimanual
261,147,3,C,6DoF,0.13882975769579622,unimanual
262,147,3,D,4DoF,0.25331077178725947,bimanual
263,147,3,D,6DoF,0.2029522791540949,unimanual
264,149,1,A,4DoF,0.2400635513692352,bimanual
265,149,1,A,6DoF,0.11915802936451038,unimanual
266,149,1,B,4DoF,0.2386163721200631,bimanual
267,149,1,B,6DoF,0.19801117575075938,unimanual
268,149,1,C,4DoF,0.24492176976017704,bimanual
269,149,1,C,6DoF,0.12622827120564828,unimanual
270,149,1,D,4DoF,0.2400403267748982,bimanual
271,149,1,D,6DoF,0.19889968693189275,unimanual
272,150,2,A,4DoF,0.09089459284593449,unimanual
273,150,2,A,6DoF,0.10587276211449081,bimanual
274,150,2,B,4DoF,0.09324027953435805,unimanual
275,150,2,B,6DoF,0.17775600815307557,bimanual
276,150,2,C,4DoF,0.09206939353890477,unimanual
277,150,2,C,6DoF,0.14003276766763423,bimanual
278,150,2,D,4DoF,0.07688446571337251,unimanual
279,150,2,D,6DoF,0.11576329493207588,bimanual
280,151,3,A,4DoF,0.17515916129122663,bimanual
281,151,3,A,6DoF,0.1274182930196012,unimanual
282,151,3,B,4DoF,0.16590644646088368,bimanual
283,151,3,B,6DoF,0.11598052992114544,unimanual
284,151,3,C,4DoF,0.19567104495453316,bimanual
285,151,3,C,6DoF,0.17334272535736178,unimanual
286,151,3,D,4DoF,0.1801160224286013,bimanual
287,151,3,D,6DoF,0.14712620485852765,unimanual
